state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Arizona,AZ,Yuma,2024,FALSE,3,109295.805,0.552,18.85,190260.3,1839156.407,0.57445,0.000003,0.000099,0,100,0,0,0,0,0.0293,5798.1859,-40.27,-40.2,-69.62
Arizona,AZ,Yuma,2025,FALSE,3,96152.056,0.486,12.915,164721.76,1617907.509,0.58372,0.000003,0.000078,0,100,0,0,0,0,0.0376,7444.9908,-12.03,-11.96,-31.49
Arizona,AZ,Yuma,2026,TRUE,3,14562.123,0.074,1.537,24857.84,245047.676,0.58582,0.000003,0.000062,0,100,0,0,0,0,0.0481,9474.3806,-84.86,-84.77,-88.1
Arkansas,AR,Benton,2020,FALSE,1,2105410.454,536.087,1866.057,1992175.7,20074444.36,1.05684,0.000269,0.000937,100,0,0,0,0,0,0.2873,1128.267,,,
Arkansas,AR,Benton,2021,FALSE,1,3214063.482,852.786,2837.512,3027390.76,30645130.109,1.06166,0.000282,0.000937,100,0,0,0,0,0,0.3005,1132.7048,52.66,59.08,52.06
Arkansas,AR,Benton,2022,FALSE,1,2971364.009,819.059,2777.512,2775917.7,28331081.821,1.07041,0.000295,0.001001,100,0,0,0,0,0,0.2949,1069.7934,-7.55,-3.95,-2.11
Arkansas,AR,Benton,2023,FALSE,1,2491950.095,642.987,2574.732,2276365.06,23759994.669,1.09471,0.000282,0.001131,100,0,0,0,0,0,0.2497,967.8483,-16.13,-21.5,-7.3
Arkansas,AR,Benton,2024,FALSE,1,2704732.294,693.462,2785.053,2568008.9,25788788.08,1.05324,0.00027,0.001085,100,0,0,0,0,0,0.249,971.1601,8.54,7.85,8.17
Arkansas,AR,Benton,2025,FALSE,1,3345461.901,846.989,3188.59,3180702.42,31898009.523,1.0518,0.000266,0.001002,100,0,0,0,0,0,0.2656,1049.1979,23.69,22.14,14.49
Arkansas,AR,Benton,2026,TRUE,1,1156032.694,298.758,1283.392,1084581.41,11022442.61,1.06588,0.000275,0.001183,100,0,0,0,0,0,0.2328,900.7635,-65.44,-64.73,-59.75
Arkansas,AR,Craighead,2020,FALSE,3,6666.9,0.055,6.426,10558,112600.1,0.63145,0.000005,0.000609,0,100,0,0,0,0,0.0086,1037.4883,,,
Arkansas,AR,Craighead,2021,FALSE,3,19481.2,0.102,15.596,30527,330212.5,0.63816,0.000003,0.000511,0,100,0,0,0,0,0.0065,1249.1152,192.21,85.45,142.7
Arkansas,AR,Craighead,2022,FALSE,3,49656.3,0.646,63.922,80318,836180.5,0.61825,0.000008,0.000796,0,100,0,0,0,0,0.0101,776.8264,154.89,533.33,309.86
Arkansas,AR,Craighead,2023,FALSE,3,52229,0.279,45.839,84796,885050.7,0.61594,0.000003,0.000541,0,100,0,0,0,0,0.0061,1139.4009,5.18,-56.81,-28.29
Arkansas,AR,Craighead,2024,FALSE,3,49128.6,0.332,45.884,79414,831747.3,0.61864,0.000004,0.000578,0,100,0,0,0,0,0.0072,1070.7131,-5.94,19,0.1
Arkansas,AR,Craighead,2025,FALSE,3,31738.3,0.167,28.855,50603,537946.4,0.6272,0.000003,0.00057,0,100,0,0,0,0,0.0058,1099.9238,-35.4,-49.7,-37.11
Arkansas,AR,Craighead,2026,TRUE,3,10910.9,0.162,11.687,17499,183415.7,0.62352,0.000009,0.000668,0,100,0,0,0,0,0.0139,933.5929,-65.62,-2.99,-59.5
Arkansas,AR,Franklin,2020,FALSE,1,223336.403,3.461,151.545,434254.39,3751482.31,0.5143,0.000008,0.000349,0,100,0,0,0,0,0.0228,1473.7299,,,
Arkansas,AR,Franklin,2021,FALSE,1,132866.408,27.105,89.298,244206.97,2161184.959,0.54407,0.000111,0.000366,0,100,0,0,0,0,0.3035,1487.899,-40.51,683.16,-41.07
Arkansas,AR,Franklin,2022,FALSE,1,251638.227,6.653,159.096,489399.68,4219094.044,0.51418,0.000014,0.000325,0,100,0,0,0,0,0.0418,1581.6754,89.39,-75.45,78.16
Arkansas,AR,Franklin,2023,FALSE,1,211302.118,1.153,143.356,411773.43,3555359.688,0.51315,0.000003,0.000348,0,100,0,0,0,0,0.008,1473.9677,-16.03,-82.67,-9.89
Arkansas,AR,Franklin,2024,FALSE,1,253872.94,15.885,179.661,494811.17,4231317.884,0.51307,0.000032,0.000363,0,100,0,0,0,0,0.0884,1413.0665,20.15,1277.71,25.33
Arkansas,AR,Franklin,2025,FALSE,1,248753.513,2.295,154.127,481516.26,4182866.212,0.5166,0.000005,0.00032,0,100,0,0,0,0,0.0149,1613.9516,-2.02,-85.55,-14.21
Arkansas,AR,Franklin,2026,TRUE,1,94074.389,7.163,60.912,178773.95,1564411.439,0.52622,0.00004,0.000341,0,100,0,0,0,0,0.1176,1544.4311,-62.18,212.11,-60.48
Arkansas,AR,Hempstead,2020,FALSE,2,3486261.047,658.343,717.315,3822304.71,33566641.634,0.91208,0.000172,0.000188,97.76,2.24,0,0,0,0,0.9178,4860.1536,,,
Arkansas,AR,Hempstead,2021,FALSE,2,3476735.097,579.756,759.064,3760224.02,33744713.381,0.92461,0.000154,0.000202,95.93,4.07,0,0,0,0,0.7638,4580.2924,-0.27,-11.94,5.82
Arkansas,AR,Hempstead,2022,FALSE,2,3699178.531,637.71,841.43,3975998.03,35598240.557,0.93038,0.00016,0.000212,97.88,2.12,0,0,0,0,0.7579,4396.2998,6.4,10,10.85
